nume_judet	salariu_mediu_net	populatie	nr_someri_per_capita	nume_localitate	nume_localitate_search	tip_localitate	teritoriu
alba	2846	376589	71.7449037912	ormenis	ormenis$	sat	rural
alba	2846	376589	71.7449037912	padure	padure$	sat	rural
alba	2846	376589	71.7449037912	padurea	padurea$	sat	rural
alba	2846	376589	71.7449037912	panade	panade$	sat	rural
alba	2846	376589	71.7449037912	panca	panca$	sat	rural
alba	2846	376589	71.7449037912	pantesti	pantesti$	sat	rural
alba	2846	376589	71.7449037912	parau gruiului	parau gruiului$	sat	rural
alba	2846	376589	71.7449037912	parau lui mihai	parau lui mihai$	sat	rural
alba	2846	376589	71.7449037912	parau-carbunari	parau-carbunari$	sat	rural
alba	2846	376589	71.7449037912	pastesti	pastesti$	sat	rural
alba	2846	376589	71.7449037912	patrahaitesti	patrahaitesti$	sat	rural
alba	2846	376589	71.7449037912	patrangeni	patrangeni$	sat	rural
alba	2846	376589	71.7449037912	patrusesti	patrusesti$	sat	rural
alba	2846	376589	71.7449037912	patrutesti	patrutesti$	sat	rural
alba	2846	376589	71.7449037912	peles	peles$	sat	rural
alba	2846	376589	71.7449037912	perjesti	perjesti$	sat	rural
alba	2846	376589	71.7449037912	petelca	petelca$	sat	rural
alba	2846	376589	71.7449037912	petelei	petelei$	sat	rural
alba	2846	376589	71.7449037912	petreasa	petreasa$	sat	rural
alba	2846	376589	71.7449037912	petreni	petreni$	sat	rural
alba	2846	376589	71.7449037912	pianu de jos	pianu de jos$	sat	rural
alba	2846	376589	71.7449037912	pianu de sus	pianu de sus$	sat	rural
alba	2846	376589	71.7449037912	pirita	pirita$	sat	rural
alba	2846	376589	71.7449037912	pitarcesti	pitarcesti$	sat	rural
alba	2846	376589	71.7449037912	pitiga	pitiga$	sat	rural
